Id,Predicted
114982,368582.2903126725
95653,513555.99872363807
40303,349754.9797927417
109506,270671.7421934026
100149,464358.6953804179
7610,344654.2333850338
61101,288825.50359350524
68167,503008.12862621265
65701,368420.6111233722
56039,260538.77895493273
81919,449673.8995456902
99768,441851.81779199385
124053,632156.4455924768
3942,368908.92640343483
118904,527332.8705284006
30060,394206.6645066215
185729,571529.9348104848
46357,686366.9547705703
20662,374163.7715742944
102274,497342.8128380861
53369,202709.4025060627
9719,414373.1504227958
20145,277715.63894159417
159051,585827.5885383561
31481,273570.0853319473
142247,381612.186822411
29119,324698.08838613785
151448,451039.8374950967
60594,258132.0116066212
83400,504114.0348158023
40168,272450.4503569489
52407,383665.7202927065
127232,499417.48914242967
131188,392065.8684238188
952,214741.48622393707
166230,460808.2389794625
144844,431215.0550142123
33207,303327.1199022614
28355,745027.3590090447
179918,668794.4294189429
162451,724130.6948044182
19390,280346.6964261704
114861,454788.3838843736
132259,381320.89661838545
180033,719981.4469392454
97052,502463.7409964404
94224,441114.40208771365
32295,484839.19997643906
171908,756331.3116882446
80236,484315.1648850351
156193,465623.0265273018
54494,346580.62832438963
174530,671230.5091198323
143835,330517.9041799395
26275,333735.7119494293
61627,696135.5067036138
49813,308542.2587508215
3466,560486.6438806178
117691,514629.749634063
132738,574650.8067368098
114211,554043.3885469504
116741,509080.7638009034
39246,412894.726875568
150011,339751.44302916067
182319,564250.8567503977
32441,333539.6629198214
18842,375585.4876316568
99428,376325.3700889344
96435,430144.93284496485
134803,372872.1233956103
171636,599386.3134486104
115944,534982.8858340835
149001,494898.84549331595
19084,379621.10547049576
178128,654432.2430216725
74818,384575.76570515166
49603,255563.34528421113
86262,677338.9240267833
14520,279802.16446875746
57209,795460.1988454543
148575,618927.4014835353
33,187355.9891055042
180401,648244.7576757885
87114,478658.2630530714
16450,344639.57068849466
28848,378410.9270100054
11519,276307.862582749
7202,289320.4799629825
2843,275474.43177426513
156073,477371.06319657713
132217,455663.397865492
140349,520200.13833636796
34614,328436.495447156
135594,394744.42256878625
170933,724084.456413308
62586,415244.2518714478
145868,390426.290183592
15155,149408.14269518718
61290,314747.6694644339
184569,586862.5509426943
169996,368123.4753685926
7026,403742.13123258855
128356,398422.67824859807
134501,485062.42800910556
163406,553764.4555661036
56796,412166.75665777124
174870,694865.4133276534
142554,548079.3111881596
59547,249727.44076357383
143113,456406.9878206334
154091,485269.84248934145
61191,563533.9329333861
135899,430348.47151937813
172405,584327.9346772234
184121,581498.6015942536
1063,383569.3518383136
6348,341936.648377008
79995,576728.6135342808
50573,372963.8191245108
79894,437944.90726973955
113553,394859.98243982275
31931,343367.92082410946
86645,380147.0306192356
123780,336507.5072690434
142940,507039.36090463644
138987,547338.5179344672
41502,228355.29996496747
100104,560835.9570068198
83570,465587.05710632965
181648,635567.6163106171
68406,451755.5126562178
114567,337530.0228724581
5470,409930.52993336663
176926,785273.5351655625
173013,457085.7358663248
110219,413264.3620735357
52178,223427.34008150693
120569,499428.4880880981
132710,486032.82203849393
10478,402014.9510168572
100309,771655.5495290236
76446,339183.1353835479
140674,421207.1685231627
122786,557234.4917302576
66214,391899.5826305063
120240,311158.2251920332
113802,353894.0729961028
169747,495749.6664235627
45819,398736.19583309937
36170,317923.8943883726
84049,479792.2392077716
104675,300889.9131144884
66165,831964.8309959834
92499,381348.3609361833
107783,541042.6085236018
148441,491784.9512058031
12344,236831.92061239042
93256,577236.5390746304
48139,432354.91343198094
101908,378284.90121117723
134084,455841.20690120955
17216,277316.86201434955
185201,658464.5018879146
185016,644016.730833898
25318,359508.3060116468
65253,312308.731834042
57696,261029.58055742417
30939,351189.4232460111
128338,387763.1642425146
104156,443743.7920317785
41455,351965.04862679343
126390,385102.4480188033
165803,502663.84338310704
108253,355301.85823094874
15221,129999.10403122671
129322,297511.3517701422
86142,655277.7215519961
150957,463086.2193410457
97028,419641.22162901086
3219,359807.6931085908
172533,497187.9462942404
147313,452290.73027848883
168865,471247.3280753805
138278,468436.6893230133
82280,283021.7678506504
4380,301992.7980858492
4327,614450.4053359637
109861,400003.9415235803
45273,487540.0511092148
102888,687805.3353678818
77664,457793.94005275355
58355,275041.90196731576
91308,236328.31801851964
169692,495949.820143846
154931,521594.29857226374
123897,476904.06046141335
43550,450489.97031611484
94084,402615.5205431349
63629,318003.00092724635
163153,425010.4917464523
165076,641264.1577208041
55701,343460.968775683
19310,356761.17325867957
18205,358730.32864165225
59608,563184.9414622459
60785,511771.21193321183
51513,347988.10388876015
145397,456282.6180694727
101693,392774.35756565444
164688,510209.78218287375
82863,317151.1689528127
1754,278289.5800954285
5376,386781.69305109646
130074,488715.5404497944
102843,650791.2378640379
29760,338578.5427564761
130642,367697.55608711013
31347,472920.35612965707
24205,301089.69226702966
165100,461773.8107787896
81514,468691.4855125964
116369,574839.6315785741
84639,357902.12282312464
97982,473059.5859774226
91083,752514.9015690541
149132,569269.7012463935
41826,444472.93763166503
52033,227049.29665273026
21665,294498.80107773707
62257,230224.42755287487
10102,360371.7708292131
23904,348878.1660872185
179693,844353.0153441126
144227,832887.4981656088
120211,333756.9394112284
173440,427278.1237324976
46749,407408.6634120279
96942,518171.8191385644
